LF_Genre,Mapped_YouView_Genre_1,Mapped_YouView_Genre_2
Romance > Drama,urn:tva:metadata:cs:ContentCS:2010:3.4.3,urn:tva:metadata:cs:ContentCS:2010:3.4
Romance > Gay/Lesbian,urn:tva:metadata:cs:ContentCS:2010:3.4.3,
Romance > General,urn:tva:metadata:cs:ContentCS:2010:3.4.3,
Romance > Bollywood,urn:tva:metadata:cs:ContentCS:2010:3.4.3,urn:tva:metadata:cs:ContentCS:2010:3.6.17.3
Romance > Musical,urn:tva:metadata:cs:ContentCS:2010:3.4.3,urn:tva:metadata:cs:ContentCS:2010:3.4.10
Romance > Plays/Performance,urn:tva:metadata:cs:ContentCS:2010:3.4.3,urn:tva:metadata:cs:FormatCS:2010:2.2
Romance > Teen,urn:tva:metadata:cs:ContentCS:2010:3.4.3,http://refdata.youview.com/mpeg7cs/YouViewIntendedAudienceCS/2010-09-20#4.2.3
Romance > Television,urn:tva:metadata:cs:ContentCS:2010:3.4.3,
Romance > Thriller,urn:tva:metadata:cs:ContentCS:2010:3.4.3,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10
Romance > Weepies,urn:tva:metadata:cs:ContentCS:2010:3.4.3,
Sci-Fi/Fantasy > Anime/Japanimation,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7,urn:tva:metadata:cs:FormatCS:2010:2.3.3
Sci-Fi/Fantasy > Action/Adventure,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7,urn:tva:metadata:cs:ContentCS:2010:3.4.6
Sci-Fi/Fantasy > Children,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1
Sci-Fi/Fantasy > Comedy,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7,urn:tva:metadata:cs:ContentCS:2010:3.5.7
Sci-Fi/Fantasy > Doctor Who,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7,
Sci-Fi/Fantasy > Family,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.9.9
Sci-Fi/Fantasy > Fantasy,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7,
Sci-Fi/Fantasy > Horror,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7,urn:tva:metadata:cs:ContentCS:2010:3.4.6.6
Sci-Fi/Fantasy > Sci-fi,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7,
Sci-Fi/Fantasy > Stargate,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7,
Sci-Fi/Fantasy > Star Trek,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7,
Sci-Fi/Fantasy > Teen,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7,http://refdata.youview.com/mpeg7cs/YouViewIntendedAudienceCS/2010-09-20#4.2.3
Sci-Fi/Fantasy > Television,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7,
Sci-Fi/Fantasy > Thriller,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10
Special Interest > Antiques & Fine Art,urn:tva:metadata:cs:ContentCS:2010:3.8.5.10,urn:tva:metadata:cs:ContentCS:2010:3.1.4.9
Special Interest > Body Care/Diet,urn:tva:metadata:cs:ContentCS:2010:3.8.7.2,urn:tva:metadata:cs:ContentCS:2010:3.8.7.6
Special Interest > Crafts/Games/Hobbies,urn:tva:metadata:cs:ContentCS:2010:3.8,urn:tva:metadata:cs:ContentCS:2010:3.8.5
Special Interest > Dancing,urn:tva:metadata:cs:ContentCS:2010:3.8,urn:tva:metadata:cs:ContentCS:2010:3.1.4.2
Special Interest > Educational/Instructional,urn:tva:metadata:cs:IntentionCS:2005:1.3,urn:tva:metadata:cs:ContentCS:2010:3.8
Special Interest > Exercise/Fitness,urn:tva:metadata:cs:ContentCS:2010:3.8,urn:tva:metadata:cs:ContentCS:2010:3.8.7.2
Special Interest > Food & Drink,urn:tva:metadata:cs:ContentCS:2010:3.8,urn:tva:metadata:cs:ContentCS:2010:3.8.3
Special Interest > Garden,urn:tva:metadata:cs:ContentCS:2010:3.8,urn:tva:metadata:cs:ContentCS:2010:3.8.4.3
Special Interest > Health,urn:tva:metadata:cs:ContentCS:2010:3.8,urn:tva:metadata:cs:ContentCS:2010:3.8.7.2
Special Interest > Home/Car Maintenance,urn:tva:metadata:cs:ContentCS:2010:3.8,urn:tva:metadata:cs:ContentCS:2010:3.8.4.2
Special Interest > Interactive Games,urn:tva:metadata:cs:ContentCS:2010:3.8,urn:tva:metadata:cs:ContentCS:2010:3.8.2
Special Interest > Living World/Universe,urn:tva:metadata:cs:ContentCS:2010:3.8,urn:tva:metadata:cs:ContentCS:2010:3.8.7
Special Interest > Mature,urn:tva:metadata:cs:ContentCS:2010:3.8,urn:tva:metadata:cs:ContentCS:2010:3.8
Special Interest > Music,urn:tva:metadata:cs:ContentCS:2010:3.1.4,urn:tva:metadata:cs:ContentCS:2010:3.1.4.1
Special Interest > Photography/Video,urn:tva:metadata:cs:ContentCS:2010:3.8,urn:tva:metadata:cs:ContentCS:2010:3.8.5
Special Interest > Places of Interest/Travel,urn:tva:metadata:cs:ContentCS:2010:3.8,urn:tva:metadata:cs:ContentCS:2010:3.8.9
Special Interest > Religion,urn:tva:metadata:cs:ContentCS:2010:3.8,urn:tva:metadata:cs:ContentCS:2010:3.1.5.4
Special Interest > Self Defence,urn:tva:metadata:cs:ContentCS:2010:3.8,urn:tva:metadata:cs:ContentCS:2010:3.8.7.2
Special Interest > Technology,urn:tva:metadata:cs:ContentCS:2010:3.8,urn:tva:metadata:cs:ContentCS:2010:3.8.2
Special Interest > Trains,urn:tva:metadata:cs:ContentCS:2010:3.8,urn:tva:metadata:cs:ContentCS:2010:3.8.5
Special Interest > Transport,urn:tva:metadata:cs:ContentCS:2010:3.8,urn:tva:metadata:cs:ContentCS:2010:3.8.9
Sport > BMX/Skateboarding,urn:tva:metadata:cs:ContentCS:2010:3.2,urn:tva:metadata:cs:ContentCS:2010:3.2.2
Sport > Boxing,urn:tva:metadata:cs:ContentCS:2010:3.2,urn:tva:metadata:cs:ContentCS:2010:3.2.13.2
Sport > Cricket,urn:tva:metadata:cs:ContentCS:2010:3.2,urn:tva:metadata:cs:ContentCS:2010:3.2.3.9
Sport > Cycling,urn:tva:metadata:cs:ContentCS:2010:3.2,urn:tva:metadata:cs:ContentCS:2010:3.2.2
Sport > Documentary,urn:tva:metadata:cs:ContentCS:2010:3.2,urn:tva:metadata:cs:ContentCS:2010:3.1
Sport > Extreme,urn:tva:metadata:cs:ContentCS:2010:3.2,urn:tva:metadata:cs:ContentCS:2010:3.2.12.2
Sport > Football,urn:tva:metadata:cs:ContentCS:2010:3.2,urn:tva:metadata:cs:ContentCS:2010:3.2.3.12
Sport > General,urn:tva:metadata:cs:ContentCS:2010:3.2,
Sport > Golf,urn:tva:metadata:cs:ContentCS:2010:3.2,urn:tva:metadata:cs:ContentCS:2010:3.2.15
Sport > Martial Arts,urn:tva:metadata:cs:ContentCS:2010:3.2,urn:tva:metadata:cs:ContentCS:2010:3.2.5.5
Sport > Motor Cycling,urn:tva:metadata:cs:ContentCS:2010:3.2,urn:tva:metadata:cs:ContentCS:2010:3.2.8
Sport > Motor Sport,urn:tva:metadata:cs:ContentCS:2010:3.2,urn:tva:metadata:cs:ContentCS:2010:3.2.8
Sport > Rugby,urn:tva:metadata:cs:ContentCS:2010:3.2,urn:tva:metadata:cs:ContentCS:2010:3.2.3.19.2
Sport > Snow|Ice Sports,urn:tva:metadata:cs:ContentCS:2010:3.2,urn:tva:metadata:cs:ContentCS:2010:3.2.7
Sport > Tennis,urn:tva:metadata:cs:ContentCS:2010:3.2,urn:tva:metadata:cs:ContentCS:2010:3.2.4.7
Sport > Water Sports,urn:tva:metadata:cs:ContentCS:2010:3.2,urn:tva:metadata:cs:ContentCS:2010:3.2.6.11
Sport > Wrestling,urn:tva:metadata:cs:ContentCS:2010:3.2,urn:tva:metadata:cs:ContentCS:2010:3.2.13.6
Teen > Comedy,http://refdata.youview.com/mpeg7cs/YouViewIntendedAudienceCS/2010-09-20#4.2.3,urn:tva:metadata:cs:ContentCS:2010:3.5.7
Teen > Drama,http://refdata.youview.com/mpeg7cs/YouViewIntendedAudienceCS/2010-09-20#4.2.3,urn:tva:metadata:cs:ContentCS:2010:3.4
Teen > General,http://refdata.youview.com/mpeg7cs/YouViewIntendedAudienceCS/2010-09-20#4.2.3,http://refdata.youview.com/mpeg7cs/YouViewIntendedAudienceCS/2010-09-20#4.2.3
Teen > Horror,http://refdata.youview.com/mpeg7cs/YouViewIntendedAudienceCS/2010-09-20#4.2.3,urn:tva:metadata:cs:ContentCS:2010:3.4.6.6
Teen > Romance,http://refdata.youview.com/mpeg7cs/YouViewIntendedAudienceCS/2010-09-20#4.2.3,urn:tva:metadata:cs:ContentCS:2010:3.4.3
Teen > Sci-Fi/Fantasy,http://refdata.youview.com/mpeg7cs/YouViewIntendedAudienceCS/2010-09-20#4.2.3,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7
Teen > Television,http://refdata.youview.com/mpeg7cs/YouViewIntendedAudienceCS/2010-09-20#4.2.3,http://refdata.youview.com/mpeg7cs/YouViewIntendedAudienceCS/2010-09-20#4.2.3
Television > American,urn:tva:metadata:cs:ContentCS:2010:3.4,
Television > Animation/Cartoons,urn:tva:metadata:cs:FormatCS:2010:2.3.3,
Television > BBC,urn:tva:metadata:cs:ContentCS:2010:3.4,
Television > British,urn:tva:metadata:cs:ContentCS:2010:3.5,
Television > Cartoon/Kids,urn:tva:metadata:cs:FormatCS:2010:2.3.3,
Television > Children,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1,
Television > Comedy,urn:tva:metadata:cs:ContentCS:2010:3.5.7,
Television > Crime,urn:tva:metadata:cs:ContentCS:2010:3.4.6.4,
Television > Drama,urn:tva:metadata:cs:ContentCS:2010:3.4,
Television > Entertainment,urn:tva:metadata:cs:ContentCS:2010:3.5,
Television > Factual,urn:tva:metadata:cs:ContentCS:2010:3.1.3,
Television > Fashion/Life Style,urn:tva:metadata:cs:ContentCS:2010:3.8.7.3,
Television > Food & Wine,urn:tva:metadata:cs:ContentCS:2010:3.8.3,
Television > History,urn:tva:metadata:cs:ContentCS:2010:3.1.5.3,
Television > Horror,urn:tva:metadata:cs:ContentCS:2010:3.4.6.6,
Television > Living World/Universe,urn:tva:metadata:cs:ContentCS:2010:3.4,
Television > Medical Drama/Comedy,urn:tva:metadata:cs:ContentCS:2010:3.4.5,
Television > Military,urn:tva:metadata:cs:ContentCS:2010:3.1.5.3,
Television > Military/History,urn:tva:metadata:cs:ContentCS:2010:3.1.5.3,
Television > Period Drama,urn:tva:metadata:cs:ContentCS:2010:3.4.14,
Television > Romance,urn:tva:metadata:cs:ContentCS:2010:3.4.3,
Television > Sci-Fi,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7,
Television > Series/Reality,urn:tva:metadata:cs:ContentCS:2010:3.4,
Television > Series/Miniseries,urn:tva:metadata:cs:ContentCS:2010:3.4,
Television > Soaps,urn:tva:metadata:cs:ContentCS:2010:3.4.2,
Television > Teen,http://refdata.youview.com/mpeg7cs/YouViewIntendedAudienceCS/2010-09-20#4.2.3,
Television > Thriller,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,
Television > Travel/Places of Interest,urn:tva:metadata:cs:ContentCS:2010:3.8.9,
Television > Whodunnit,urn:tva:metadata:cs:ContentCS:2010:3.4.6.4,
Thriller > Action/Adventure,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.4.6
Thriller > African-American,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,
Thriller > Crime,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.4.6.4
Thriller > Drama,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.4
Thriller > Erotic,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,
Thriller > General,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,
Thriller > Bollywood,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.6.17.3
Thriller > Mystery,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.4.6.4
Thriller > Political,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.4.20
Thriller > Psychological,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.4.19
Thriller > Romance,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.4.3
Thriller > Sci-Fi/Fantasy,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7
Thriller > Supernatural,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7
Thriller > Television,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,
Thriller > Whodunnit,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,urn:tva:metadata:cs:ContentCS:2010:3.4.6.4
World Cinema > African,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Australia,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Chinese,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Danish,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > French,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > German,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Indian/Pakistani,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Italian,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Japanese,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Korean,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Middle East,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > New Zealand,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Polish,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Russian,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Spanish,urn:tva:metadata:cs:ContentCS:2010:3.4,
World Cinema > Swedish,urn:tva:metadata:cs:ContentCS:2010:3.4,
Action/Adventure,urn:tva:metadata:cs:ContentCS:2010:3.4.6,
Adult,urn:tva:metadata:cs:ContentCS:2010:3.9,
Animated,urn:tva:metadata:cs:FormatCS:2010:2.3.3,
Bollywood,urn:tva:metadata:cs:ContentCS:2010:3.6.17.3,
Children,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1,
Comedy,urn:tva:metadata:cs:ContentCS:2010:3.5.7,
Documentary,urn:tva:metadata:cs:ContentCS:2010:3.1,
Drama,urn:tva:metadata:cs:ContentCS:2010:3.4,
Family,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.9.9,
Gay/Lesbian,urn:tva:metadata:cs:ContentCS:2010:3.4,
Horror,urn:tva:metadata:cs:ContentCS:2010:3.4.6.6,
Music/Musical,urn:tva:metadata:cs:ContentCS:2010:3.1.4,
Romance,urn:tva:metadata:cs:ContentCS:2010:3.4.3,
Sci-Fi/Fantasy,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7,
Special Interest,urn:tva:metadata:cs:ContentCS:2010:3.8,
Sport,urn:tva:metadata:cs:ContentCS:2010:3.2,
Teen,http://refdata.youview.com/mpeg7cs/YouViewIntendedAudienceCS/2010-09-20#4.2.3,
Television,urn:tva:metadata:cs:ContentCS:2010:3.5,
Thriller,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10,
World Cinema,urn:tva:metadata:cs:ContentCS:2010:3.4,
